"","canc1","canc2","canc3","canc4","canc5","canc6","canc7","canc8","canc9","canc10","canc11","canc12","canc13","canc14","canc15","canc16","canc17","canc18","canc19","canc20","canc21","canc22","canc23","canc24","canc25"
"gene237",-1.67,-0.67,0.25,0.55,-1.69,0.58,-0.7,1.58,1.18,0.62,-0.62,-1.37,-0.72,-0.42,0.18,2.72,0.38,0.96,0.7,-0.43,0.37,-1.69,-0.78,1.11,-0.52
"gene238",1.04,0.03,-1.25,-0.28,-0.72,-1.34,-0.76,-0.95,-0.77,0.78,-0.42,1.02,1.22,-1.18,0.18,2.09,-1.97,-0.55,-0.84,1.92,0.19,-0.66,-0.63,0,-0.74
"gene239",0.82,-0.29,-1.45,-0.93,-1.39,0.82,-1.01,0.76,-0.6,1.12,-0.25,-0.31,-0.6,-0.34,-0.1,-0.13,-0.24,-0.43,1.7,-0.36,0.17,1.58,0.13,-0.06,-0.03
"gene240",0.39,0.83,1.55,-1.46,1.68,0.99,-0.49,1.08,1.06,-0.09,1.48,-0.9,-1.42,0.43,0.35,-0.99,0.21,0.2,0.67,2.21,0.14,-0.33,-0.93,0.48,1.97
"gene241",-0.5,-1.37,1.4,-0.13,1.31,0.31,-0.85,-2.87,-1.74,0.54,0.05,1.1,-0.05,-0.29,0.44,0.67,0.92,-0.97,-1.41,0.49,0.59,-0.43,0.46,-0.75,0.1
"gene242",-1.03,-0.66,1.16,-0.79,0.4,-0.53,0.94,0.39,0.25,-1.06,2.42,1.61,0.06,-1.57,-0.06,-0.08,1.55,-0.21,-1.75,-1.51,0.46,2.5,1.63,1.23,-1.07
"gene243",1.3,-0.48,0.15,1.21,0.02,0.34,-0.34,0.03,-0.51,-0.59,-1.15,-0.72,-0.89,-1.35,-0.49,-2.06,1.52,-1.95,1.07,1.29,-0.7,1.17,0.81,0.38,0.34
"gene244",-1.62,1.76,-2.82,1.24,-0.55,0.7,0.83,-0.41,-1.55,-1.41,-0.85,-0.04,-0.67,-0.04,0.65,0.58,-1.36,-0.1,-0.31,-0.36,0.04,-0.58,-0.93,-0.8,1.37
"gene245",0.48,-1,-0.5,-0.06,0.32,0.44,-0.96,-1.14,-0.89,1.57,-0.62,1.16,-1.08,0.94,0.44,-1.22,-0.01,-1.54,-0.9,0.48,0.9,0.42,0.77,-1.45,-0.08
"gene246",-1.38,-1.28,-0.42,0.59,-1.24,-1.68,-0.04,-1.02,0.58,0.23,-0.38,0.91,0.84,-1.53,0.57,-0.16,-0.22,1.27,-0.46,-0.05,0.88,-0.55,0.88,-0.37,-0.24
"gene247",0.85,-0.29,0.29,0.95,0.15,0.18,-0.71,-1.11,0,-0.73,-0.26,1.78,-0.32,1.37,-0.67,0.37,0.2,-1.48,-0.34,0.39,1.23,-0.38,-0.97,1.19,-0.88
"gene248",2.07,-0.14,-1.04,0.23,1.61,-0.38,-0.57,1.89,0.08,0.57,-0.69,-0.17,0.65,0.15,-1.64,-0.21,0.25,-0.79,1.81,-1.54,0.36,0.66,-1.07,-1.9,-0.39
"gene249",-1.03,1.55,0.36,-1.47,-0.5,-2.37,-0.13,1.2,0.57,-0.55,0.75,0.09,-1.02,0.16,-0.11,-1.6,0.33,0.65,0.45,-3.5,0.45,1.1,0.6,-1.02,0.19
"gene250",0.3,1.36,-0.43,1.06,0.73,0.62,0.45,1.1,-0.94,0.02,-1.7,0.89,1.28,-0.36,1.08,0.43,-0.76,-0.46,0.58,0.59,0.36,-0.74,0.37,-0.52,0.34
"gene251",0,1.03,1.87,1.2,1.46,2.45,1.16,2.37,0.1,1.19,2.11,-0.72,3.19,0.78,0.78,1.28,0.21,2.31,0.9,1.8,1.89,-0.31,2.22,1.41,1.16
"gene252",0.79,1.64,-0.18,1.54,2.61,2.54,1.51,3.29,0.92,0.23,2.13,1.96,3.25,2.5,2.58,0.9,1.93,1.66,1.83,2.34,3.1,2.61,2.41,2.19,0.09
"gene253",1.09,-0.45,0.07,0.47,-0.86,-0.57,0.82,0.18,1.17,0.69,0.66,0.34,-0.05,-1.44,-1.77,0.13,1.61,-0.52,0.39,-1.28,-0.49,1.11,0.36,0.05,0.29
"gene254",-0.54,-0.11,0.28,0.98,0.52,1.91,-1.25,0.81,-1.31,-1.05,-0.32,-1.79,-1.21,0.39,-1.05,0.11,-0.74,1.16,0.5,1.05,1.24,0.38,0.68,0.92,1.64
"gene255",0.42,0.05,0.39,0.76,1.02,0.69,1.43,0.08,0.28,0.04,-0.29,1.11,0.17,0.48,2.08,-0.33,-1.52,-1.34,-1.18,1.52,-1.89,0.05,-0.94,0.43,-1.05
"gene256",-0.54,1.53,2.61,2.55,2.15,0.8,0.71,0.33,0.61,3.07,2.9,2.6,2.78,0.5,0.21,0.9,1.39,1.23,1.9,1.29,3.58,0.59,2.12,2.2,2.35
"gene257",0.78,-2.59,-1.26,0.46,0.37,0.5,-1.72,0.35,0.07,0.47,2,-0.41,0.97,0.65,0.36,-0.91,0.29,0.07,1.12,-0.58,-0.83,1.43,-0.42,-0.51,0.6
"gene258",-1.52,0.13,-0.21,1.44,-1.19,0.08,0.38,-1.03,0.77,-1.42,-0.13,-0.79,-0.28,0.43,1.49,-1.1,-0.36,1.23,-0.04,-0.51,0.4,1.29,2.45,0.71,-0.6
"gene259",-0.67,-1.41,0.96,-0.9,1.59,-0.56,0.51,0.05,-0.15,-0.37,0.25,-1.58,-0.43,-0.9,-0.35,-0.14,-1.2,-0.62,-0.36,-0.64,0.78,0.81,0.77,0,-0.1
"gene260",0.73,-0.44,-0.72,0.49,-0.72,-0.57,0.87,2.79,0.9,0.09,-0.25,-1.57,-0.83,0.14,0.44,-0.68,2.23,-0.96,-0.19,0.68,-1.67,-1.45,-1.04,-0.51,-2
"gene261",0.71,0.08,-0.61,0.2,0.24,-0.36,0.51,2.02,1,0.42,-0.74,0.32,-0.65,0.89,1.81,0.71,0.69,1.2,0.59,-1.83,0.03,0.03,0.85,0.28,-0.43
"gene262",-1.22,1.88,0.74,0.18,0.43,1.64,0.1,-0.22,-0.41,1.84,-0.08,0.67,2.71,0.37,-1.53,0.49,-0.75,-0.4,-1.67,-1.79,1.35,0.75,2.37,1.9,1.21
"gene263",-1,-1.37,-0.5,0.56,0.84,1.47,-0.47,0.05,-0.57,0.15,-0.49,-0.54,1.35,-0.65,-0.04,-0.2,2.58,-0.58,-1.1,0.31,-1.32,-1.37,0.42,0.26,0.42
"gene264",-1.54,1.25,0.73,-1.57,-0.18,-0.5,-0.09,0.56,0.07,-0.31,1.4,1.7,-2.12,1.03,0.79,-1.05,0.54,0.29,0.2,0.84,1.86,1.45,-0.14,-0.56,1.21
"gene265",1.14,0.67,0.08,1.22,-0.91,-0.34,-0.67,0.86,-1.12,-0.24,1.16,-0.01,-0.47,-0.82,-0.2,-0.79,-1.29,-0.9,-2.05,0.02,0.24,-0.15,-0.24,0.03,-2.29
"gene266",1.5,-0.16,-1.76,1.61,-0.52,0.06,-0.96,1.57,0,-0.67,0.01,0.11,0.33,0.33,0.48,-0.97,-1.5,0.68,-0.77,0.07,-0.74,-0.79,1.1,0.25,0.76
"gene267",0.92,-0.78,0.65,-0.7,-0.61,-0.74,0.03,-0.6,-0.46,1.1,-0.96,0.57,-0.41,0.42,-1.69,0.94,-1.16,-0.26,0.58,1.5,0.32,-0.13,-1.17,0.3,-1.52
"gene268",1.2,0.25,-0.1,-1.43,0.98,0.52,-0.09,-0.4,-0.84,0.22,-0.85,-0.88,-0.88,-0.77,-1.07,0.57,-0.01,1.24,-0.4,-0.05,-1.06,1.03,-0.78,0.89,-0.83
"gene269",-0.92,-0.24,-1.12,-2.24,0.16,1.09,0.92,-0.96,1.25,-1.43,0.27,-1.5,-2.24,0.67,-1.93,-0.94,-0.94,-0.13,-0.41,0.63,-1.32,2.25,2.15,1.06,0.04
"gene270",1.3,-0.6,-0.78,-0.03,2.28,-0.4,0.44,1.2,-1.4,-0.09,0.71,0.39,-0.06,1.34,-0.66,-1.03,1.66,-0.05,0.9,2.08,-1.05,1.68,-2.84,-0.37,0.24
"gene271",0.91,-0.78,-2.12,-2.62,-0.4,0.04,0.74,0.62,-1.22,0.54,1.88,0.36,0.11,-0.49,0.85,-0.33,-1.22,0.01,1.75,0.34,0.81,0.84,0.87,0.49,0.58
"gene272",-1.7,0.25,-0.31,-0.85,-0.8,2.06,0.39,0.03,-0.91,0.02,-0.23,-0.02,-1.45,0.38,1.01,-0.87,0.87,-1.51,0.2,0.04,-0.75,0.16,0.77,1.07,0.31
"gene273",1.07,1.23,0.98,-0.91,-1.03,-1.54,1.29,0.32,0.63,-1.37,0.51,-1.58,0.41,1.97,-0.31,0.04,0.7,-0.33,0.54,0.09,-0.15,0.73,0.55,1.32,-0.45
"gene274",0.36,-0.07,-0.5,0.5,1.11,0.01,0.26,0.29,0.39,0.13,-1.55,-1.45,-1.4,-0.4,2,-0.6,-1.29,-0.93,-0.49,-1.34,-0.22,-0.72,2.22,-0.22,1.77
"gene275",0.78,-0.58,-0.68,-0.16,-1.28,1.13,1.12,-1.02,0.57,-0.35,-0.33,0.34,-0.93,0.93,-0.99,0.66,0.51,1.29,-1.27,-0.21,2.04,-0.82,1.82,1.52,0.8
"gene276",-0.1,1.44,-0.55,0.42,-1.08,-1.83,-0.47,-0.33,-0.44,0.77,0.74,-0.74,-2.59,-1.58,1.26,-0.55,-0.69,1.41,-0.09,0.66,1.92,1.43,0.19,0.22,1.89
"gene277",0.06,0.53,-0.57,1.06,-0.4,0.26,2.27,-0.36,-0.3,0.3,1.17,0.95,-1.18,1.83,-2.06,-0.43,1.91,1.04,1.91,-0.2,0.12,-0.04,0.25,0.79,-0.06
"gene278",-0.91,1.3,-0.1,0.84,-0.64,1.23,2.5,-1.51,1.23,0.68,0.76,0.98,0.88,0.63,0.29,0.44,0.96,-2.46,-0.33,0.58,-1.03,-0.52,-0.24,0.14,-1.24
"gene279",-0.75,0.54,1.56,0.93,-0.49,0.16,-1.36,-0.39,0.99,0.24,-0.78,-0.06,0.24,-0.46,-0.37,-1.91,-1.16,-0.1,1.69,-0.36,-1.26,-1.02,0.22,-0.94,-0.62
"gene280",0.94,2.06,0.43,-0.72,-1.55,-1.15,-1.39,-1.31,0.59,1.09,4.08,-0.55,1.68,-1.2,1.61,0.85,1.25,-0.27,-0.42,-0.36,-0.55,-0.93,1.03,0.01,0.96
"gene281",-1.84,-0.16,1.58,0.95,2.34,0.68,-1.21,0.14,-0.85,0.87,-0.48,0.63,-1.65,-0.03,1.43,-1.04,-0.01,-1.63,-1.15,-0.11,0.12,-1.04,-0.51,-1.07,-0.01
"gene282",-0.51,0.89,-0.62,-1.48,0.83,0.03,0.61,0.21,-0.08,-1.04,0.12,0.56,0.81,-1.6,-0.12,-0.21,-1.21,-0.36,-1.24,-1.95,-0.01,-0.28,0.14,0.23,-0.07
"gene283",-2.28,-0.36,-0.5,0.99,-0.09,0.97,0.27,-1.03,0.72,1.24,-0.47,-0.94,-0.53,2.22,-1.07,0.13,0.07,3.05,1.04,-1.27,-2.26,1.7,-1.67,3.08,-0.69
"gene284",-0.14,-1.31,-0.59,-0.05,-0.55,0.43,-0.27,-0.16,-0.49,0.35,-0.82,-0.53,-0.06,-0.83,0.27,-0.06,-0.32,0.46,-0.45,0.03,-1.96,1.13,-1.29,-2.55,0.37
"gene285",1.47,-0.26,-0.27,-0.37,0.04,0.12,0.44,0.73,-0.82,-0.03,-0.52,-0.57,-0.16,-2.4,-1.72,-0.03,0.18,1.44,-0.3,0.08,-1.08,2.28,1.57,0.33,-0.56
"gene286",-0.57,0.28,-0.2,0.12,0.53,1.44,0.01,-0.73,0.53,-2.66,0.23,-0.59,0.98,0.39,-0.82,-0.06,-1.31,0.55,0.02,-0.33,0.36,-0.62,0.9,-1.56,0.78
"gene287",-0.06,-0.19,1.16,-0.79,-0.72,-0.22,1.06,-0.63,-0.02,-1.42,-0.09,-0.95,1.58,-0.34,2.47,0.14,0.23,-0.37,0.03,0.7,-2.48,-0.24,-0.22,0.32,-0.57
"gene288",-0.96,-1.41,-1.11,1.8,0.11,1.49,0.05,0.21,0.21,-0.15,-0.34,-2.07,-0.31,0.22,0.46,0.53,0.97,0.48,0.97,1.71,1.37,-1.11,1.12,1.41,-0.34
"gene289",1.39,0.67,-0.03,0.17,-1.07,0.21,-1.24,0.97,0.46,-2.05,0.35,0.55,-0.25,-0.53,0.15,-1.15,-1.71,-2.6,0.56,-0.72,-0.97,-0.22,-1.76,-0.06,-0.17
"gene290",-0.55,-0.39,-0.58,1.75,-0.17,-0.5,0,-0.52,0.59,1.96,0.51,1.04,-0.46,0.58,-1.8,-0.5,0.74,1.47,0.38,-0.86,-1.35,-0.65,-0.19,1.94,-0.69
"gene291",-0.95,0.91,1.18,-0.07,-0.53,0.32,-1.11,1.74,-0.37,0.01,-0.25,-1.37,1.94,0.51,-0.85,-0.86,-0.3,-0.2,0.48,0.81,0.09,1.61,0.18,0.17,-0.72
"gene292",0.27,1.41,0.32,1.9,0.89,-0.77,-0.8,-2,0.12,1.58,-2.13,-1.01,-1.56,-1.14,-0.09,-0.55,-0.06,1.13,-0.36,0.4,-0.97,0.94,-0.7,1.73,2.73
"gene293",0.2,0.43,0.18,1.31,0.44,0.08,1.65,-0.18,-1.53,0.88,-1.04,-1.08,1.37,-0.33,0.05,-0.78,0.95,-0.54,-0.35,0.9,-1.23,-0.76,-0.79,-1.3,1.89
"gene294",0.59,-0.12,1.01,-1.15,1.28,1.54,-0.54,-0.22,0.88,-1.4,-0.75,2.33,0.54,-0.86,1.09,0.17,0.45,0.49,0.05,-0.06,-0.71,-0.76,-0.16,-0.2,0.55
"gene295",-0.62,0.25,-0.29,1.94,-0.06,-1.06,0.07,1.05,0.07,1.52,1.02,-0.97,0.99,-1.05,-1.28,-1.56,1.25,0.53,-1.24,1.32,-1.22,-0.52,0.62,0.79,1.3
"gene296",-0.42,0.57,0.14,-1.45,1.43,0.41,2.66,0.12,-0.11,-1.88,0.43,0.65,1.44,-1.55,0.48,0.2,-0.19,0.39,0.9,-0.04,0.09,0.09,-0.51,-0.41,-0.61
"gene297",-0.69,0.88,-1.25,0.24,-2.27,0.35,0.06,0.45,0.48,1.48,-0.13,0.7,-0.29,-0.05,0.05,-0.13,-1.81,0.18,1.51,-0.35,-0.56,0.2,-0.04,0.2,-0.47
"gene298",0.46,-1.65,1.59,1.81,0.94,-0.37,0.86,-0.79,0.04,0.33,-0.81,-0.03,-0.36,1.7,0.53,0.01,-0.27,-0.3,-1.84,-0.93,1.65,-0.37,1.3,0.21,0.2
"gene299",-0.62,0.37,1.11,1.24,-0.38,1.56,-0.48,-0.59,-0.25,-1.54,0.6,0.06,0.11,0.95,-0.66,-0.24,-0.97,0.05,-1.99,-0.03,-0.37,1.38,-0.98,0.48,-0.59
"gene300",0.51,1.31,1.92,-1.14,0.77,1.38,-1.69,0.77,-0.51,-1.11,-1.45,-0.28,-0.43,1.75,-0.13,-0.14,0.64,-0.71,0.94,0.21,-0.12,0.12,0.14,0.65,-1.91
"gene301",-2.52,-0.24,1.1,-0.65,0.01,0.3,3.34,-0.31,-0.25,1.16,-0.93,0.42,-1.58,0.52,-0.2,1.64,0.39,-0.43,-0.02,0.17,-0.42,-0.46,-0.24,-0.98,-2.03
"gene302",0.34,1.21,-0.83,0.21,0.1,0.14,0.97,1.22,2.37,-1.48,0.03,-0.09,0.42,0.63,0.61,-0.35,-0.68,1.8,0.2,-0.79,0.14,0.25,-1.08,0.11,-2.32
"gene303",0.04,-0.39,1.05,-0.48,0.74,0.58,0.53,-0.02,0.11,-1.91,0.85,-0.5,-0.3,-2.88,0.61,-0.57,-1.21,-0.28,-1.13,-0.27,-0.04,0.56,0.42,-1.13,0.74
"gene304",0.34,-0.14,-0.91,0.59,-0.95,-0.77,-1.32,-0.51,2.77,0.05,0.17,-0.99,0.24,-1.25,0.99,0.24,-2.05,-1.39,-0.13,1.5,0.51,0.52,1.16,-0.5,1.98
"gene305",1.97,-0.17,-0.76,-0.15,1.48,-1.19,-0.3,0.88,-1.02,-0.74,-0.13,-0.32,-0.37,0.51,1.54,-1.01,0.34,0.15,-0.4,1.69,-0.77,-2.16,-0.42,-0.47,0.27
"gene306",2.05,0.91,-0.47,1.05,-0.32,0.21,1.96,-0.05,-0.35,0.18,-1.24,1,0.06,2.16,0.33,0.26,0.99,0,-0.15,-0.6,0.54,-0.5,-0.62,0.21,-0.31
"gene307",-0.48,1,-0.38,0.3,0.66,-0.04,0.41,-0.49,1.08,-0.18,-1.36,1.6,-0.15,0.41,0.94,-0.46,-0.99,0.96,0.77,-1.47,-1.24,1.55,0.76,-1.1,2.43
"gene308",2.11,-2.03,-0.31,-0.42,1.47,1.41,0.57,0.84,-0.18,-0.16,-1.02,-0.46,-0.33,-0.03,0.62,1.88,0.41,-0.47,0.89,0.13,-1.14,-2.03,-0.82,-0.45,-1.68
"gene309",-2.79,-0.23,-0.6,-1.04,-1.2,-0.59,-0.38,0.79,-2.11,-1.72,-0.59,0.56,-0.24,-0.63,-0.4,0.09,0.33,1.31,-0.14,-0.11,-0.03,-2.09,0.55,0.11,-1.05
"gene310",-1.44,1.38,0.31,-0.91,0.46,-1.93,-1.21,-0.43,-0.14,0.61,0.76,0,-0.08,0.04,0.22,0.85,-0.64,1.43,-2.1,-0.08,0.05,-0.33,-1.47,0.65,-0.88
"gene311",0.52,-0.44,-1.11,0.58,0.6,-0.75,-0.88,-0.22,0.01,1.56,0.91,-1.03,1.16,1.49,-0.33,2.78,1.71,1.06,-1.21,0.48,-0.37,-0.41,-0.37,0.53,-1.67
"gene312",-0.6,1.38,0.1,-0.91,0.69,0.31,-0.04,0.8,0.34,1.67,-0.36,0.71,-0.56,0.18,-0.43,-1.58,-1.53,-0.29,-1.39,0.73,-1.13,-1.14,0.87,0.55,-0.15
"gene313",0.06,-0.05,0.98,0.7,-0.51,0.21,1.1,0.07,-0.09,0.68,0.99,-0.22,0.67,1.7,-0.32,-2.03,-1.13,-1.39,0.55,-0.83,0.59,0.95,-0.35,0.16,0.33
"gene314",2.47,-0.53,-0.56,-0.95,0.09,-0.34,1.13,0.22,-0.15,-0.04,0.5,1.21,-0.04,-0.17,-0.26,0.37,0.24,-0.66,-0.89,-0.49,-0.42,-0.73,-0.82,0.4,-1.48
"gene315",1.39,-1.19,0.68,0.08,2.69,1.61,0.21,1.94,0.67,0.87,-1.83,-1.38,-1.05,-0.39,-1.81,0.13,-0.77,-1.18,-0.41,0.45,1.33,0.68,-0.12,0.68,1.11
"gene316",1.06,-1.84,-0.63,1.92,-1.13,0.86,0.35,0.27,-3.04,0.75,0.11,0.65,0.02,-2.06,1.79,0.15,1.56,-1.34,0.51,2.06,-1.15,-1.1,-0.81,0.77,-0.18
"gene317",-1.68,1.41,0.84,-2.76,0.61,0.38,0.94,0.85,-0.65,-0.42,1.39,1.2,2.45,0.26,1.98,-0.23,0.29,-0.09,-2.36,0.65,-1.72,-0.33,-0.8,-0.28,-1.55
"gene318",-0.42,0.93,-1.55,0.44,0.15,-1.15,0.4,0.33,-0.44,0.32,-0.54,1.06,0.94,1.17,0.79,2.55,0.59,1.94,-2.34,-1.02,-0.43,-0.22,0.9,-1.74,0.76
"gene319",-0.5,-1.98,-1.08,0.39,1.04,-2.03,-0.2,0.8,-0.26,-1.03,-0.22,0.1,-1.68,0.84,0.11,-0.47,-0.16,-1.82,-0.2,-0.57,-1.81,-0.57,0.88,-1.07,-0.03
"gene320",1.91,-0.9,0.06,0.8,-0.22,0.16,-0.24,-1.2,-0.84,0.27,-0.65,0.75,-0.44,-0.27,-0.04,-0.38,-0.06,-0.63,-0.46,0.16,-0.13,0.53,0.61,-1,2.3
"gene321",0.44,-1.52,0.02,1.12,-0.08,0.71,-0.21,0.38,-1.07,-0.88,-1.82,0.35,1.16,0.36,-1.89,0.39,0.99,-0.39,-1.45,0.07,-0.43,-1.2,-0.4,-1.78,-0.63
"gene322",0.23,-0.18,0.34,-0.23,1.56,0.51,-1.43,-0.3,1.69,0.92,0.71,1.07,-1.77,1.67,1.15,2.33,-0.96,-0.88,0.06,0.18,-0.81,-1.88,-0.26,1.86,-0.02
"gene323",0.55,0.87,-0.34,-1.33,-0.22,-0.5,1.69,-1.05,0.08,0.01,0.31,-0.96,-0.2,1.04,1.11,1.95,0.13,0.09,1.58,2.05,-0.17,-1.58,-1.87,0.05,-0.07
"gene324",-0.81,0.41,-0.82,-0.5,1.07,-0.34,-1.13,-0.49,0.26,0.59,-1.15,-0.21,-0.13,-0.3,-0.83,-0.44,-0.77,0.81,-0.02,-0.36,0.21,0.17,-0.32,0.29,-1.43
"gene325",0.4,-0.19,0.2,2.49,-1.32,-1.03,-0.98,0.03,-0.67,0.42,0.95,-1.09,0.65,-1.07,0.27,0.63,0.12,1.56,0.24,2.25,-0.45,0.32,0.79,-2.31,0.38
"gene326",0.37,-1.97,1.17,1.12,0.11,0.52,-0.79,-0.51,-0.2,-0.61,0.96,-0.19,0.21,-1.34,-0.29,-0.15,-1.03,-0.48,-0.13,3.47,-0.5,0.02,-0.34,1.8,-1.34
"gene327",1.08,1.51,0.17,0.67,0.47,0.39,-0.15,3.12,-0.88,-0.91,-0.55,0.2,0.2,-0.11,-1.24,1.21,0.3,2.23,-0.79,-1.71,0.64,-1.34,-1,-1.64,1
"gene328",0.61,0.27,-0.4,1.29,0.06,2.01,-0.69,0.21,-0.65,-1.09,1.19,0.57,0.18,-0.93,2.75,-0.67,0.16,-1.32,1.08,-1.54,0.51,-2.27,-0.52,0.69,-1.47
"gene329",-0.15,1.72,0.56,-0.71,-0.66,-0.39,0.39,-0.76,-0.64,-2.15,0.68,-0.28,-1,-1.57,2.49,0.69,0.51,1.58,-0.3,-1.01,0.42,-1.26,-0.89,1.05,-0.2
"gene330",-0.37,1.03,1.77,-0.28,2.4,-1.5,-0.19,-0.39,-1.98,0.25,0.42,1.05,0.83,-0.7,0.95,1.72,-0.04,-0.65,-0.21,0.47,-0.91,2.48,0.34,-1.96,1.21
"gene331",0.34,-0.97,0.85,-1.88,0.25,-1.25,0.21,0.67,0.47,-0.41,-0.74,-0.22,-2.13,1.38,-0.88,-0.71,1.4,-0.37,1.73,-2.95,0.44,0.07,-3.33,-0.93,0.94
"gene332",1.66,1.09,0.48,-2.83,-0.05,-0.25,0.93,-0.25,0.26,0.56,-0.19,0.83,0.2,-0.47,1.72,-1.34,0.91,3.23,-0.17,0.33,-0.83,1.1,0.25,-1.02,-1.18
"gene333",-1.85,0.15,1.95,-0.99,-1.55,0.33,2.36,-0.21,1.26,1.49,-0.73,0.47,-0.25,-0.89,0.3,-0.56,0.27,-0.95,-0.32,0.54,-1.57,-0.49,-0.1,0.09,0.28
"gene334",-0.41,0.89,1.06,0.55,-1.21,0.92,1.28,-0.11,1.26,-0.52,-1.37,0.17,-0.75,-0.38,0.12,1.72,-0.17,1.95,0.57,-1.11,0.18,-0.28,1.07,0.81,1.55
"gene335",1.03,-0.66,0.03,-1.36,0.15,0.69,0.97,2.14,0.6,2.14,1.94,-0.25,-0.25,-0.82,0.97,1.46,0.78,0.58,-0.78,1.29,1.08,-0.07,0.62,-1.26,-0.54
"gene336",-0.59,-0.22,1.16,-0.51,-0.6,-0.79,-1.37,-1.92,1.04,-1.18,0.3,-0.1,-0.23,1.01,0.09,-1.1,-1.68,0.61,-0.35,1.86,-0.2,0.27,0.01,1.33,1.87
"gene337",-0.41,0.66,0.51,-0.31,0.51,-0.9,-0.25,0.15,1.16,-0.79,-0.32,1.62,0.27,0.47,-0.32,-0.06,1.07,0.12,-0.27,0.72,0.13,-1.17,0.09,0.66,0.87
"gene338",-0.62,0.19,1.76,0.61,-0.91,0.69,-1.76,-0.02,-0.54,2.25,-2.15,-0.78,-0.36,-1.2,0.17,-0.06,-0.32,1.36,0.11,1.13,1.47,2.35,-0.42,-0.87,-0.35
"gene339",-0.97,0.26,-3.3,-1.17,-0.8,-0.95,-0.57,0.22,-0.56,2.34,-0.4,-0.49,-0.18,0.73,-0.63,-0.87,0.8,-0.23,2.99,1.17,0.69,0.3,1.27,-0.9,-0.4
"gene340",-0.19,1.18,-0.81,0.95,-1.05,-0.87,0.2,-1.07,1.18,1.5,1.77,-0.47,-2.02,1.4,0.52,1.06,0.79,0.65,0.7,1.13,-1.39,0.57,0.03,1.24,-1.42
"gene341",0.76,1.61,0.78,1.18,0.25,-0.76,-0.9,-1.38,2.29,-0.84,0.22,-0.12,-0.16,0.15,0.02,-0.2,0.57,-1.76,-1.24,-0.94,0.67,1.25,-0.09,-0.7,0.22
"gene342",0.29,1.27,-1.15,0.82,-0.59,-2.81,-2.51,1.31,-0.1,-1.32,-0.25,0.21,-0.04,-0.62,1.14,0.11,-1.6,-0.23,-1.58,0.78,1.24,-0.33,0.01,-0.67,-0.39
"gene343",0.52,0.53,-0.49,0.81,-0.2,-0.11,0.75,-0.55,-0.69,-1.71,-0.86,0.25,-0.16,-0.29,-0.53,-0.55,-1.09,0.06,0.34,-0.42,-0.44,0.44,1.06,0.4,0.34
"gene344",3.16,1.58,1.68,1.24,1.73,1.99,1.59,0.29,1.88,2.44,0.81,1.95,-0.51,1.19,2.42,1.03,0.74,-0.33,-0.13,2.35,0.57,0.69,2.59,0.51,2.94
"gene345",0.5,-1.78,-0.51,-0.62,-0.34,-1.4,-0.82,0.54,-0.86,0.36,1.89,-1.83,-0.77,0.93,1.33,1.12,-0.15,1.39,-0.74,0.66,-0.48,-1.28,1.56,0.64,0.2
"gene346",0.13,0.65,-0.78,0.08,0.2,-0.22,1.23,0.86,-1.68,-1.52,0.58,-1.14,-1.03,-0.57,0.75,-1.4,0.66,0.38,0.56,-0.63,-0.92,-0.95,-0.81,-0.35,-1.34
"gene347",2.63,-1.23,-0.7,-0.1,0.69,-1.44,-0.35,1.39,1.22,0.94,-0.01,0.46,0.05,-0.61,-0.14,2.19,0.47,1.84,0.4,0.92,0.47,1.64,-1.73,1.74,0.76
"gene348",-1.57,1.13,1.03,0.36,0.73,0.88,-0.03,0.68,0.01,0.02,-1.21,-0.27,-0.26,0.89,-0.22,-1.57,0.6,0.28,1.5,2.84,0.38,1.22,1.52,-0.73,-0.75
"gene349",-0.1,-0.64,-1.05,0.57,0.87,-0.84,-0.53,-0.92,-0.28,0.09,1.34,1.17,-0.91,0.59,1.19,1.14,1.53,0.07,-0.96,-0.72,0.83,-0.64,1.36,2.43,0.58
"gene350",-1.02,0.95,0.85,-0.06,-0.26,-2.43,1.09,-0.86,1.34,1,-0.13,-0.87,0.38,-1.14,-1.19,0.09,0.97,0.76,1.09,-0.44,1.15,-1.46,-1.14,0.39,0.22
"gene351",-0.82,0.06,-1.36,-0.94,0.6,-0.25,0.99,-0.62,-0.13,-0.42,0.41,0.38,0.14,-1.26,0.09,-0.9,0,-0.11,-0.65,-0.45,-0.16,-0.11,0.63,1.47,0.84
"gene352",-0.29,-0.64,0.84,0.81,0.05,-1.08,0.07,-0.56,-0.41,0.56,0.49,-0.79,-0.97,-0.38,-0.6,-0.49,0.83,-0.72,-1.03,0.46,-1.11,1.44,1.16,0.03,0.6
"gene353",0.56,0.45,-0.25,-0.26,-0.36,-1.18,0.35,1.73,-0.38,-1.36,-0.66,0.74,1.85,0.69,0.61,-0.98,0.9,-0.32,1.88,-0.02,-0.03,-0.22,2.12,0.12,1.18
"gene354",0.22,-0.97,-1.21,0.19,-0.57,-0.26,-0.69,0.51,-1.69,0.03,1.18,0.61,0.55,-0.44,0.78,-0.31,-1.08,0.71,0.28,-0.42,-1.1,0.49,1.77,-0.51,-0.01
"gene355",0.36,1.79,-0.7,0.3,-1.12,1.18,-0.75,-0.5,-1.12,-1.14,0.36,0.24,-0.27,-0.46,1.77,0.79,-1.07,0.93,1.61,0.1,-0.77,-2.7,-1.29,-0.45,-0.56
